trial_global,subtask,trial_in_subtask,image_a,image_b,choice,chosen_image,rt,reward,value_difference,q_value_chosen,q_value_unchosen,learning_progress,psychological_state,true_reward_chosen,learning_rate
0,0,0,1,0,1,0,2.0852041710493867,0.47955450203147754,0.0,0.49693317530472164,0.5,0.7999999999999999,engaged,0.5,0.15
1,0,1,1,0,1,0,1.446954398594888,0.20596113653357195,0.0030668246952783584,0.4532873694890492,0.5,0.7989777251015738,engaged,0.5,0.15
2,0,2,1,0,1,0,2.4229819259696015,0.6084527046495088,0.046712630510950814,0.457942329543863,0.5,0.7844291231630164,disengaged,0.5,0.03
3,0,3,2,1,1,1,0.6545148863130658,0.2856617104625678,0.0,0.49356985131387704,0.5,0.785980776514621,disengaged,0.2,0.03
4,0,4,2,1,1,1,2.9821509896435527,0.2351448207541583,0.006430148686122961,0.4858171003970855,0.5,0.7881241594099954,disengaged,0.2,0.03
5,0,5,1,0,1,0,0.2,0.33674415970079064,0.027874770853222486,0.4543063844485708,0.4858171003970855,0.7907084097155925,disengaged,0.5,0.03
6,0,6,0,1,1,1,2.4798909127528774,0.12840831492414673,0.03151071594851468,0.4750948368328973,0.4543063844485708,0.7894964280171618,disengaged,0.2,0.03
7,0,7,0,2,0,0,1.152256774387634,0.5447399346466792,0.0456936155514292,0.46787141697828705,0.5,0.7930705158718911,engaged,0.5,0.15
8,0,8,1,0,0,1,0.49001875614837653,0.28294748419317484,0.00722341985461028,0.44627273393693895,0.46787141697828705,0.7975921933817965,engaged,0.2,0.15
9,0,9,1,2,1,2,0.7619808035186929,0.8078896096598509,0.05372726606306105,0.5461834414489777,0.44627273393693895,0.8071995610137827,engaged,0.8,0.15
10,0,10,1,2,0,1,0.8635863582078089,0.0,0.09991070751203873,0.3793318238463981,0.5461834414489777,0.8225940414967753,engaged,0.2,0.15
11,0,11,0,2,1,2,0.9928922923132125,0.6894646682447209,0.07831202447069063,0.5676756254683392,0.46787141697828705,0.8449076781936222,engaged,0.8,0.15
12,0,12,0,2,0,0,2.7574797240724815,0.7759660038911078,0.09980420849005212,0.4771142545856717,0.5676756254683392,0.8520717395334094,disengaged,0.5,0.03
13,0,13,0,1,0,0,2.204829936312476,0.41297324498190263,0.09778243073927362,0.47519002429755863,0.3793318238463981,0.8551526854025375,disengaged,0.5,0.03
14,0,14,2,1,1,1,2.0333821719089364,0.09671307714129462,0.1883438016219411,0.370853261445245,0.5676756254683392,0.8545112753064998,disengaged,0.2,0.03
15,0,15,0,2,0,0,0.32026145443384046,0.5858513153447498,0.09248560117078053,0.47850986302897436,0.5676756254683392,0.8573374627735509,disengaged,0.5,0.03
16,0,16,1,0,1,0,1.4509435000743562,0.48967782470675036,0.10765660158372936,0.4788449018793076,0.370853261445245,0.8584440756840228,disengaged,0.5,0.03
17,0,17,2,0,0,2,1.146863905321696,0.7831493369065132,0.08883072358903155,0.5741398368114844,0.4788449018793076,0.8585557553008005,disengaged,0.8,0.03
18,0,18,1,0,0,1,0.5527998358756169,0.16839271439729503,0.10799164043406262,0.3647794450338065,0.4788449018793076,0.8607104924151823,disengaged,0.2,0.03
19,0,19,2,1,1,1,1.6406495604120703,0.05585179383902225,0.2093603917776779,0.35551161549796295,0.5741398368114844,0.8627350978856618,disengaged,0.2,0.03
20,0,20,2,0,1,0,0.7187638751905212,0.5327419771650987,0.09529493493217678,0.48046181413788136,0.5741398368114844,0.8658243743976097,disengaged,0.5,0.03
21,0,21,0,1,0,0,1.8491068227764629,0.5648137269907534,0.12495019863991841,0.4829923715234675,0.35551161549796295,0.8663633451504675,disengaged,0.5,0.03
22,0,22,2,1,1,1,3.1376880061378642,0.2810062304052692,0.21862822131352144,0.35327645394518215,0.5741398368114844,0.8672068642789963,disengaged,0.2,0.03
23,0,23,2,1,1,1,0.913800766012116,0.30020852165904094,0.22086338286630225,0.3516844159765979,0.5741398368114844,0.8679519181299232,disengaged,0.2,0.03
24,0,24,0,2,0,0,0.2,0.38661844049131167,0.09114746528801687,0.4801011535925028,0.5741398368114844,0.8684825974527847,disengaged,0.5,0.03
