trial,subtask,trial_in_subtask,psychological_state,choice_correct,rt,chosen_image,was_rewarded,learning_rate,learning_progress
0,0,0,engaged,0,1.0935576036798962,2,False,0.35,0.8131945555144736
1,0,1,engaged,0,2.1297656243843193,2,False,0.35,0.8131945555144736
2,0,2,engaged,1,0.6379683732195676,0,True,0.35,0.92204376892816
3,0,3,engaged,1,1.7045248689063826,0,True,0.35,0.9927957576470561
4,0,4,engaged,1,0.7136588469146564,0,True,0.35,1.0
5,0,5,engaged,1,1.7486092319705648,0,True,0.35,1.0
6,0,6,engaged,1,2.0402816233829846,0,False,0.35,0.6946402226062468
7,0,7,engaged,1,0.7028096284844417,0,False,0.35,0.5866547057514702
8,0,8,engaged,0,1.32324254588056,2,False,0.35,0.5866547057514702
9,0,9,engaged,1,1.362764320646738,0,True,0.35,0.6869528018948913
10,0,10,disengaged,0,0.2,1,False,0.05,0.6869528018948913
11,0,11,disengaged,0,1.2975142499505974,1,True,0.05,0.6869528018948913
12,0,12,disengaged,0,2.569000057335344,2,False,0.05,0.6869528018948913
13,0,13,disengaged,0,0.4422379370951861,1,True,0.05,0.6869528018948913
14,0,14,disengaged,0,0.33438441220290527,2,True,0.05,0.6869528018948913
15,0,15,disengaged,1,2.704361223133143,0,False,0.05,0.6526051618001467
16,0,16,disengaged,1,2.0729265912677532,0,False,0.05,0.6199749037101393
17,0,17,disengaged,1,2.084913110213431,0,True,0.05,0.6451857739308826
18,0,18,disengaged,0,2.8430961221153224,1,True,0.05,0.6451857739308826
19,0,19,disengaged,0,0.4553859372846364,1,True,0.05,0.662472875160422
20,0,20,engaged,0,1.4674136722292301,1,False,0.35,0.6451857739308826
21,0,21,engaged,1,0.891112135458715,0,False,0.35,0.4306073688542743
22,0,22,engaged,0,1.718045631479507,1,False,0.35,0.4193707530550737
23,0,23,engaged,1,1.0377517604841866,0,True,0.35,0.6660582973295499
24,0,24,engaged,1,1.4427137368253147,0,True,0.35,0.8264052011079595
25,0,25,engaged,0,2.2992209381803335,2,False,0.35,0.8264052011079595
26,0,26,engaged,1,4.042577351503925,0,True,0.35,0.9306306885639257
27,0,27,engaged,1,0.5370824548798285,0,True,0.35,0.9983772554103039
28,0,28,engaged,1,0.2,0,True,0.35,1.0
29,0,29,engaged,1,1.4304182363298963,0,False,0.35,0.6775681405092923
